Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;755-31101.1339102012.008.3.3.50.41.1719000000;31101.1339102012.008.3.3.50.41.1719000000;410345,47;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;783-31101.1339202012.006.3.3.50.41.1500000134;31101.1339202012.006.3.3.50.41.1500000134;0;1202000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;823-31101.1339202012.006.3.3.50.41.2500000000;31101.1339202012.006.3.3.50.41.2500000000;0;6444467,45;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;840-31101.1339102012.008.3.3.50.41.1715000000;31101.1339102012.008.3.3.50.41.1715000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;692-31101.1339102012.008.3.3.60.45.2719000000;31101.1339102012.008.3.3.60.45.2719000000;2453646;0;0;0;0;0;1110199,6;737850;40000;0;0;20000;365000
Analitico;0;0;757-31101.1339102012.008.3.3.60.45.1719000000;31101.1339102012.008.3.3.60.45.1719000000;500000;0;0;0;0;0;0;0;0;0;0;0;404256
Analitico;0;0;55-31101.0412204032.138.3.3.90.08.1500000000;31101.0412204032.138.3.3.90.08.1500000000;1800;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;515-31101.0412204032.138.3.3.90.08.0100000000;31101.0412204032.138.3.3.90.08.0100000000;0;332,71;0;0;0;0;0;0;0;0;0;0;-332,71
Analitico;0;0;548-31101.1339202012.006.3.3.90.30.1500000000;31101.1339202012.006.3.3.90.30.1500000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;585-31101.0412204032.141.3.3.90.30.1500000000;31101.0412204032.141.3.3.90.30.1500000000;0;49543;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;733-31101.0412204032.141.3.3.90.30.1500000000;31101.0412204032.141.3.3.90.30.1500000000;150000;0;0;0;0;0;0;0;0;10497,6;0;0;0
Analitico;0;0;693-31101.1339102012.008.3.3.90.31.2719000000;31101.1339102012.008.3.3.90.31.2719000000;1602000;0;0;0;0;0;940350;80050;0;5000;20000;345000;90050
Analitico;0;0;756-31101.1339102012.008.3.3.90.31.1719000000;31101.1339102012.008.3.3.90.31.1719000000;500000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;545-31101.1339202012.006.3.3.90.36.1500000000;31101.1339202012.006.3.3.90.36.1500000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;554-31101.0412204032.141.3.3.90.36.1500000000;31101.0412204032.141.3.3.90.36.1500000000;65,1;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;519-31101.0412204032.141.3.3.90.39.0100000000;31101.0412204032.141.3.3.90.39.0100000000;0;17600;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;544-31101.1339202012.006.3.3.90.39.1500000000;31101.1339202012.006.3.3.90.39.1500000000;5030228,8;180000;3043824,99;1000000;0;141705,88;0;0;0;0;0;95500;485500
Analitico;0;0;557-31101.0412204032.141.3.3.90.39.1500000000;31101.0412204032.141.3.3.90.39.1500000000;300000;0;0;0;0;0;0;0;61299,96;176554,96;0;0;0
Analitico;0;0;563-31101.1339102012.007.3.3.90.39.1500000000;31101.1339102012.007.3.3.90.39.1500000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;565-31101.1339102012.008.3.3.90.39.1500000000;31101.1339102012.008.3.3.90.39.1500000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;574-31101.1339202012.006.3.3.90.39.1500000000;31101.1339202012.006.3.3.90.39.1500000000;0;590823,53;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;662-31101.1339202012.006.3.3.90.39.2500000000;31101.1339202012.006.3.3.90.39.2500000000;42186587,33;0;3874500;377000;31000;4183608,33;3093299;4619500;4359000;7356000;172000;2078600;8484000
Analitico;0;0;845-31101.1339202012.006.3.3.90.39.2500000000;31101.1339202012.006.3.3.90.39.2500000000;0;10130691,67;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;694-31101.1339102012.008.3.3.90.48.2719000000;31101.1339102012.008.3.3.90.48.2719000000;3420932,29;0;0;0;0;0;2084315,54;475754;45000;80000;0;0;0
Analitico;0;0;733-31101.1339202111.029.3.3.90.48.0100000000;31101.1339202111.029.3.3.90.48.0100000000;0;2400;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;724-31101.1339102012.007.3.3.90.92.2715000000;31101.1339102012.007.3.3.90.92.2715000000;196573,17;0;0;0;0;0;0;0;196573,17;0;0;0;0
