Código;Indicador;Tipo;Descrição;Saldo Anterior;D/C;Débito até mês;Crédito até mês;Saldo Atual;D/C;
113510800;NI;S;CONTA ESPECIAL - PRECATÓRIOS;3.652.445,85;D;67.315.452,21;66.076.662,31;4.891.235,75;D
113510802;F;A;CONTA ESPECIAL - PRECATÓRIOS (F);3.652.445,85;D;67.315.452,21;66.076.662,31;4.891.235,75;D
113519900;NI;S;OUTROS DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS;84.129,49;D;2.020.565,84;2.020.565,84;84.129,49;D
113519901;F;A;OUTROS DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS;84.129,49;D;2.020.565,84;2.020.565,84;84.129,49;D
113800000;NI;S;OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO;56.714.917,68;D;23.327.553,09;29.922.145,88;50.120.324,89;D
113810000;NI;S;OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO - CONSOLIDAÇÃO;56.584.372,59;D;23.327.553,09;29.922.145,88;49.989.779,80;D
113810600;NI;S;VALORES EM TRÂNSITO REALIZÁVEIS A CURTO PRAZO;56.584.372,59;D;23.327.553,09;29.922.145,88;49.989.779,80;D
113810601;F;A;VALORES EM TRÂNSITO REALIZÁVEIS A CURTO PRAZO;56.584.372,59;D;23.327.553,09;29.922.145,88;49.989.779,80;D
113850000;NI;S;OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO - INTER OFSS - MUNICÍPIOS;130.545,09;D;0,00;0,00;130.545,09;D
113850100;F;A;OUTROS CRÉDITOS A RECEBER E VALORES A CURTO PRAZO - INTER OFSS - MUNICÍPIOS;130.545,09;D;0,00;0,00;130.545,09;D
114000000;NI;S;INVESTIMENTOS E APLICAÇÕES TEMPORÁRIAS A CURTO PRAZO;897.253.718,53;D;215.236.745,50;0,00;1.112.490.464,03;D
114400000;NI;S;INVESTIMENTOS E APLICAÇÕES TEMPORÁRIAS DE CURTO PRAZO - RPPS;897.253.718,53;D;215.236.745,50;0,00;1.112.490.464,03;D
114410000;NI;S;APLICAÇÕES EM SEGMENTO DE RENDA FIXA - RPPS - FUNDO EM CAPITALIZAÇÃO;897.253.718,53;D;215.236.745,50;0,00;1.112.490.464,03;D
114419900;NI;S;OUTROS INVESTIMENTOS DO RPPS;897.253.718,53;D;215.236.745,50;0,00;1.112.490.464,03;D
114419901;F;A;OUTROS INVESTIMENTOS DO RPPS (F);897.253.718,53;D;215.236.745,50;0,00;1.112.490.464,03;D
115000000;NI;S;ESTOQUES;163.735.490,45;D;239.595.800,28;261.632.869,39;141.698.421,34;D
115600000;NI;S;ALMOXARIFADO;163.677.928,31;D;239.595.800,28;261.632.869,39;141.640.859,20;D
115610000;NI;S;ALMOXARIFADO - CONSOLIDAÇÃO;163.677.928,31;D;239.595.800,28;261.632.869,39;141.640.859,20;D
115610100;P;A;MATERIAL DE CONSUMO;127.348.466,66;D;128.921.073,09;150.981.319,23;105.288.220,52;D
115610200;P;A;GENEROS ALIMENTÍCIOS;3.133.572,61;C;54.957.172,27;43.804.370,38;8.019.229,28;D
115610500;P;A;MEDICAMENTOS E MATERIAIS HOSPITALARES;39.463.034,26;D;55.717.554,92;66.847.179,78;28.333.409,40;D
115800000;NI;S;OUTROS ESTOQUES;57.562,14;D;0,00;0,00;57.562,14;D
115810000;NI;S;OUTROS ESTOQUES - CONSOLIDAÇÃO;57.562,14;D;0,00;0,00;57.562,14;D
115819800;P;A;ESTOQUES DIVERSOS;57.562,14;D;0,00;0,00;57.562,14;D
119000000;NI;S;VARIAÇÕES PATRIMONIAIS DIMINUTIVAS PAGAS ANTECIPADAMENTE;163.975,72;D;0,00;0,00;163.975,72;D
119800000;NI;S;DEMAIS VPD A APROPRIAR;163.975,72;D;0,00;0,00;163.975,72;D
119810000;NI;S;DEMAIS VPD A APROPRIAR - CONSOLIDAÇÃO;163.975,72;D;0,00;0,00;163.975,72;D
119810100;P;A;DESPESA A APROPRIAR POR PENDÊNCIA DE INFORMAÇÕES;163.975,72;D;0,00;0,00;163.975,72;D
120000000;NI;S;ATIVO NÃO-CIRCULANTE;7.207.254.978,88;D;546.903.300,83;860.663.659,93;6.893.494.619,78;D
121000000;NI;S;ATIVO REALIZÁVEL A LONGO PRAZO;6.109.972.769,71;D;420.965.828,31;796.595.169,32;5.734.343.428,70;D
121100000;NI;S;CRÉDITOS A LONGO PRAZO;6.012.928.899,82;D;409.860.928,51;792.971.619,21;5.629.818.209,12;D
121110000;NI;S;CRÉDITOS A LONGO PRAZO - CONSOLIDAÇÃO;6.012.928.899,82;D;409.860.928,51;792.971.619,21;5.629.818.209,12;D
121110400;NI;S;DIVIDA ATIVA TRIBUTARIA;7.399.680.615,70;D;0,00;465.996.210,93;6.933.684.404,77;D
121110401;P;A;CRÉDITOS NÃO PREVIDENCIÁRIOS INSCRITOS;7.399.680.615,70;D;0,00;465.996.210,93;6.933.684.404,77;D
121110500;NI;S;DÍVIDA ATIVA NÃO TRIBUTÁRIA (P);0,00;C;10.313.721,96;10.313.721,96;0,00;C
121110504;P;A;DEMAIS VALORES INSCRITOS EM DÍVIDA ATIVA NÃO TRIBUTÁRIA;0,00;C;10.313.721,96;10.313.721,96;0,00;C
121110600;NI;S;CRÉDITOS PREVIDENCIÁRIOS DO RPPS;93.184.407,26;D;0,00;10.313.721,96;82.870.685,30;D
